POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,bhuvneshwar kumar,321.5,13,24,122,3,1,1,0.0,0,RCB
2,kagiso rabada,318.0,13,21,137,3,2,3,0.0,0,GT
3,abhishek sharma,282.5,13,0,6,46,38,5,0.0,0,SRH
4,anshul kamboj,281.5,13,20,112,2,2,2,0.5,0,CSK
5,vaibhav sooryavanshi,271.0,12,0,0,43,43,0,0.0,0,RR
6,jofra archer,267.5,12,17,121,2,0,5,1.0,0,RR
7,sai sudharsan,264.5,13,0,0,55,25,3,1.0,0,GT
8,shubman gill,264.0,12,0,0,50,27,9,1.0,0,GT
9,ishan kishan,260.5,13,0,0,49,26,9,1.0,1,SRH
10,virat kohli,255.0,13,0,0,57,21,8,0.0,0,RCB
11,sanju samson,252.0,13,0,0,53,24,4,0.5,2,CSK
12,k l rahul,252.0,13,0,0,51,27,2,0.5,1,DC
13,mohammed siraj,246.0,12,14,138,0,0,4,0.0,0,GT
14,eshan malinga,243.5,13,17,98,0,0,4,1.5,0,SRH
15,heinrich klaasen,242.5,13,0,0,44,25,12,0.0,0,SRH
16,jos buttler,242.0,13,0,0,41,20,19,1.5,1,GT
17,cooper connolly,239.5,13,0,0,39,32,4,1.0,0,PBKS
18,kartik tyagi,235.5,12,16,98,1,1,4,0.5,0,KKR
19,rashid khan,235.0,13,16,97,4,0,4,0.0,0,GT
20,prince yadav,235.0,11,16,107,0,0,4,0.0,0,LSG
21,ryan rickelton,232.5,10,0,0,29,37,7,0.0,0,MI
22,mitchell marsh,231.5,12,0,0,40,31,4,0.0,0,LSG
23,sunil narine,230.5,11,13,113,2,4,3,0.0,0,KKR
24,devdutt padikkal,229.0,13,0,0,42,23,11,1.0,0,RCB
25,prabhsimran singh,227.0,13,0,0,48,21,6,0.5,0,PBKS
26,jamie overton,223.0,10,14,60,13,6,1,0.0,0,CSK
27,nitish kumar reddy,217.0,12,7,49,15,16,9,0.0,0,SRH
28,arshdeep singh,215.0,13,14,104,0,0,4,0.0,0,PBKS
29,mohammad shami,215.0,12,10,122,2,3,3,0.0,0,LSG
30,cameron green,208.0,12,5,35,22,17,7,0.0,0,KKR
31,axar patel,206.0,13,10,74,13,4,5,0.0,0,DC
32,dhruv jurel,206.0,12,0,0,35,16,15,1.5,1,RR
33,josh hazlewood,200.5,10,12,101,0,0,5,0.0,0,RCB
34,jason holder,198.5,7,13,68,2,3,6,0.0,0,GT
35,krunal pandya,198.5,13,10,64,10,9,2,0.0,0,RCB
36,noor ahmad,197.5,13,13,90,0,1,4,0.0,0,CSK
37,angkrish raghuvanshi,197.5,12,0,0,40,19,4,0.5,1,KKR
38,priyansh arya,193.5,12,0,0,27,32,2,0.0,0,PBKS
39,shreyas iyer,190.0,13,0,0,28,25,7,0.0,0,PBKS
40,travis head,180.5,13,0,0,39,22,0,0.0,0,SRH
41,rajat patidar,180.0,12,0,0,18,31,7,0.0,0,RCB
42,finn allen,174.5,9,0,0,28,27,0,0.0,0,KKR
43,sakib hussain,174.5,9,14,71,0,0,1,0.0,0,SRH
44,prasidh krishna,173.0,8,14,63,0,0,1,0.5,0,GT
45,tilak varma,169.0,12,0,0,30,16,10,0.0,0,MI
46,yashasvi jaiswal,165.5,12,0,0,39,14,4,0.0,0,RR
47,lungisani ngidi,162.5,10,10,86,0,0,0,0.5,0,DC
48,ravindra jadeja,159.5,11,8,46,15,4,1,0.5,0,RR
49,vaibhav arora,158.5,10,11,73,0,0,2,0.5,0,KKR
50,washington sundar,157.0,13,1,14,32,10,6,0.0,0,GT
51,rasikh dar,152.5,9,12,60,0,0,1,0.0,0,RCB
52,marco jansen,152.0,12,7,75,1,3,6,0.0,0,PBKS
53,nandre burger,150.5,10,9,85,0,0,1,0.0,0,RR
54,am ghazanfar,149.0,9,13,58,0,0,0,0.0,0,MI
55,donovan ferreira,146.0,11,1,2,21,16,9,0.0,0,RR
56,varun chakaravarthy,145.0,9,10,64,0,0,2,0.0,0,KKR
57,naman dhir,144.0,12,0,0,30,13,7,0.0,0,MI
58,mohsin khan,142.0,5,10,57,0,0,2,0.0,0,LSG
59,riyan parag,142.0,11,2,5,19,17,4,0.0,0,RR
60,praful hinge,140.5,6,11,53,0,0,3,0.0,0,SRH
61,anukul roy,139.5,12,8,47,2,2,7,1.0,0,KKR
62,pat cummins,139.0,6,8,62,1,3,2,0.0,0,SRH
63,ruturaj gaikwad,136.5,13,0,0,28,10,6,1.5,0,CSK
64,brijesh sharma,136.5,9,11,57,0,0,1,0.0,0,RR
65,pathum nissanka,135.5,10,0,0,33,12,2,0.0,0,DC
66,ravi bishnoi,134.5,9,11,42,0,0,5,0.0,0,RR
67,jasprit bumrah,133.0,12,3,100,1,0,1,1.0,0,MI
68,shivang kumar,130.5,11,8,57,3,1,0,0.5,0,SRH
69,yuzvendra chahal,130.5,13,10,50,0,0,3,0.0,0,PBKS
70,rishabh pant,130.0,12,0,0,25,9,9,1.5,0,LSG
71,nitish rana,130.0,9,0,7,27,10,3,1.0,0,DC
72,rinku singh,129.5,12,0,0,25,11,9,0.0,0,KKR
73,marcus stoinis,129.0,12,2,10,23,11,1,0.5,0,PBKS
74,xavier bartlett,128.0,9,5,56,2,2,10,0.0,0,PBKS
75,tim david,127.5,13,0,1,18,21,2,0.0,0,RCB
76,mukesh choudhary,126.5,7,7,63,0,0,3,1.0,0,CSK
77,mitchell starc,125.0,5,9,44,0,0,2,1.0,0,DC
78,rohit sharma,125.0,7,0,0,21,19,0,0.0,0,MI
79,suyash sharma,123.0,11,8,67,0,0,0,0.0,0,RCB
80,romario shepherd,122.5,12,7,33,6,5,2,0.0,0,RCB
81,akeal hosein,122.0,7,8,58,0,0,2,0.0,0,CSK
82,vyshak vijaykumar,121.5,9,9,46,0,0,1,1.0,0,PBKS
83,hardik pandya,121.0,8,4,34,16,4,2,0.0,0,MI
84,mukesh kumar,118.5,10,6,62,0,0,3,1.0,0,DC
85,kartik sharma,117.0,10,0,0,21,16,1,0.0,0,CSK
86,aiden markram,116.5,12,0,8,20,11,8,0.0,0,LSG
87,harsh dubey,113.0,8,8,39,2,0,4,0.0,0,SRH
88,ajinkya rahane,112.0,12,0,0,17,14,7,0.0,0,KKR
89,sameer rizvi,110.5,11,0,0,15,17,3,0.0,0,DC
90,shivam dube,108.0,12,1,5,20,11,3,0.0,0,CSK
91,shardul thakur,107.5,8,10,29,1,0,0,0.0,0,MI
92,kuldeep yadav,106.0,10,7,52,0,0,2,0.0,0,DC
93,nicholas pooran,106.0,12,0,0,11,17,5,0.5,0,LSG
94,sarfaraz khan,100.0,8,0,0,23,6,6,0.5,0,CSK
95,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
96,corbin bosch,99.5,4,8,33,2,0,1,0.0,0,MI
97,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
98,tristan stubbs,97.5,13,0,0,18,9,6,0.0,0,DC
99,ashok sharma,97.5,6,6,53,0,0,1,0.0,0,GT
