POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,abhishek sharma,268.0,11,0,6,43,36,5,0.0,0,SRH
2,kagiso rabada,248.0,10,16,105,3,2,3,0.0,0,GT
3,anshul kamboj,239.0,10,17,94,2,2,2,0.0,0,CSK
4,jofra archer,234.5,10,15,107,1,0,4,1.0,0,RR
5,vaibhav sooryavanshi,230.0,10,0,0,35,37,0,0.0,0,RR
6,bhuvneshwar kumar,227.0,9,17,83,3,0,1,0.0,0,RCB
7,eshan malinga,222.0,11,16,86,0,0,3,1.5,0,SRH
8,k l rahul,221.0,10,0,0,44,24,2,0.5,1,DC
9,ishan kishan,216.0,11,0,0,41,22,6,1.0,1,SRH
10,heinrich klaasen,210.5,11,0,0,36,23,10,0.0,0,SRH
11,sanju samson,205.5,10,0,0,42,21,3,0.0,1,CSK
12,nitish kumar reddy,202.0,10,7,39,14,16,8,0.0,0,SRH
13,ryan rickelton,201.0,8,0,0,25,33,4,0.0,0,MI
14,jos buttler,196.0,10,0,0,34,17,14,1.5,0,GT
15,mohammed siraj,193.5,9,11,109,0,0,3,0.0,0,GT
16,cooper connolly,191.5,10,0,0,31,26,4,0.0,0,PBKS
17,sai sudharsan,188.5,10,0,0,38,18,3,1.0,0,GT
18,jamie overton,188.0,9,11,49,13,6,1,0.0,0,CSK
19,prabhsimran singh,185.0,10,0,0,39,17,5,0.5,0,PBKS
20,prince yadav,182.0,8,13,83,0,0,2,0.0,0,LSG
21,shubman gill,180.5,9,0,0,35,17,7,1.0,0,GT
22,virat kohli,179.0,9,0,0,42,15,5,0.0,0,RCB
23,travis head,178.0,11,0,0,38,22,0,0.0,0,SRH
24,rashid khan,175.5,10,11,78,4,0,3,0.0,0,GT
25,mohammad shami,174.0,9,8,95,2,3,3,0.0,0,LSG
26,dhruv jurel,168.0,10,0,0,29,11,14,1.5,1,RR
27,sunil narine,167.0,8,9,80,2,4,2,0.0,0,KKR
28,devdutt padikkal,164.5,9,0,0,27,18,10,0.0,0,RCB
29,kartik tyagi,164.5,9,11,71,1,1,3,0.0,0,KKR
30,arshdeep singh,163.5,10,11,76,0,0,3,0.0,0,PBKS
31,shreyas iyer,159.0,10,0,0,22,22,6,0.0,0,PBKS
32,noor ahmad,158.5,10,11,65,0,1,4,0.0,0,CSK
33,yashasvi jaiswal,153.0,10,0,0,36,14,2,0.0,0,RR
34,nandre burger,150.5,10,9,85,0,0,1,0.0,0,RR
35,priyansh arya,149.5,9,0,0,21,26,0,0.0,0,PBKS
36,prasidh krishna,149.0,7,12,53,0,0,1,0.5,0,GT
37,vaibhav arora,142.5,8,10,64,0,0,2,0.5,0,KKR
38,mohsin khan,142.0,5,10,57,0,0,2,0.0,0,LSG
39,cameron green,140.0,9,3,26,16,10,6,0.0,0,KKR
40,am ghazanfar,138.0,8,12,54,0,0,0,0.0,0,MI
41,donovan ferreira,137.5,9,1,1,20,16,7,0.0,0,RR
42,rajat patidar,135.0,9,0,0,14,24,4,0.0,0,RCB
43,ravi bishnoi,134.5,9,11,42,0,0,5,0.0,0,RR
44,ravindra jadeja,133.0,10,7,41,12,2,1,0.5,0,RR
45,varun chakaravarthy,132.0,7,10,51,0,0,2,0.0,0,KKR
46,axar patel,131.5,10,9,56,3,0,2,0.0,0,DC
47,josh hazlewood,131.0,6,8,62,0,0,4,0.0,0,RCB
48,marco jansen,130.5,10,6,63,1,3,5,0.0,0,PBKS
49,sakib hussain,127.5,7,10,52,0,0,1,0.0,0,SRH
50,krunal pandya,127.5,9,9,45,4,2,1,0.0,0,RCB
51,nitish rana,127.5,8,0,7,26,10,3,1.0,0,DC
52,shivang kumar,125.5,9,8,52,3,1,0,0.5,0,SRH
53,lungisani ngidi,121.5,7,8,59,0,0,0,0.5,0,DC
54,vyshak vijaykumar,121.5,9,9,46,0,0,1,1.0,0,PBKS
55,hardik pandya,121.0,8,4,34,16,4,2,0.0,0,MI
56,angkrish raghuvanshi,120.5,9,0,0,29,9,3,0.0,0,KKR
57,naman dhir,118.5,10,0,0,25,10,6,0.0,0,MI
58,jason holder,117.5,4,7,40,1,3,5,0.0,0,GT
59,rinku singh,115.0,9,0,0,22,9,9,0.0,0,KKR
60,ruturaj gaikwad,114.5,10,0,0,23,8,5,1.5,0,CSK
61,mitchell marsh,114.5,9,0,0,22,14,3,0.0,0,LSG
62,riyan parag,114.0,10,2,5,16,12,4,0.0,0,RR
63,jasprit bumrah,114.0,10,3,81,1,0,1,1.0,0,MI
64,harsh dubey,113.0,8,8,39,2,0,4,0.0,0,SRH
65,aiden markram,111.5,9,0,8,20,11,6,0.0,0,LSG
66,sameer rizvi,110.5,10,0,0,15,17,3,0.0,0,DC
67,suyash sharma,110.0,8,7,61,0,0,0,0.0,0,RCB
68,pathum nissanka,109.5,9,0,0,28,9,2,0.0,0,DC
69,xavier bartlett,108.0,8,5,47,0,1,9,0.0,0,PBKS
70,washington sundar,106.5,10,1,8,23,6,4,0.0,0,GT
71,marcus stoinis,106.5,10,1,7,18,11,1,0.5,0,PBKS
72,rohit sharma,106.0,5,0,0,19,15,0,0.0,0,MI
73,rishabh pant,105.5,9,0,0,19,7,8,1.5,0,LSG
74,anukul roy,105.5,9,6,32,2,2,5,1.0,0,KKR
75,tilak varma,105.0,10,0,0,21,8,7,0.0,0,MI
76,akeal hosein,104.0,5,7,47,0,0,2,0.0,0,CSK
77,yuzvendra chahal,103.0,10,8,39,0,0,2,0.0,0,PBKS
78,mukesh kumar,102.5,7,5,53,0,0,3,1.0,0,DC
79,kuldeep yadav,100.0,9,7,46,0,0,2,0.0,0,DC
80,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
81,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
82,ashok sharma,97.5,6,6,53,0,0,1,0.0,0,GT
83,sarfaraz khan,97.5,8,0,0,23,6,5,0.5,0,CSK
84,praful hinge,96.5,4,8,35,0,0,1,0.0,0,SRH
85,brijesh sharma,94.5,7,7,43,0,0,1,0.0,0,RR
86,tim david,92.5,9,0,1,12,16,1,0.0,0,RCB
87,tristan stubbs,92.5,10,0,0,17,9,5,0.0,0,DC
