POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,vaibhav sooryavanshi,326.5,13,0,0,50,53,0,0.0,0,RR
2,bhuvneshwar kumar,321.5,13,24,122,3,1,1,0.0,0,RCB
3,kagiso rabada,318.0,13,21,137,3,2,3,0.0,0,GT
4,jofra archer,288.0,13,18,131,2,0,5,1.5,0,RR
5,abhishek sharma,282.5,13,0,6,46,38,5,0.0,0,SRH
6,anshul kamboj,281.5,13,20,112,2,2,2,0.5,0,CSK
7,mitchell marsh,279.5,13,0,0,51,36,4,0.0,0,LSG
8,sai sudharsan,264.5,13,0,0,55,25,3,1.0,0,GT
9,shubman gill,264.0,12,0,0,50,27,9,1.0,0,GT
10,ishan kishan,260.5,13,0,0,49,26,9,1.0,1,SRH
11,kartik tyagi,259.5,13,18,108,1,1,4,0.5,0,KKR
12,virat kohli,255.0,13,0,0,57,21,8,0.0,0,RCB
13,sunil narine,253.5,12,14,129,2,4,3,0.0,0,KKR
14,sanju samson,252.0,13,0,0,53,24,4,0.5,2,CSK
15,k l rahul,252.0,13,0,0,51,27,2,0.5,1,DC
16,mohammed siraj,246.0,12,14,138,0,0,4,0.0,0,GT
17,prince yadav,244.0,12,16,116,0,0,4,0.0,0,LSG
18,eshan malinga,243.5,13,17,98,0,0,4,1.5,0,SRH
19,heinrich klaasen,242.5,13,0,0,44,25,12,0.0,0,SRH
20,jos buttler,242.0,13,0,0,41,20,19,1.5,1,GT
21,ryan rickelton,240.0,11,0,0,30,37,9,0.0,0,MI
22,cooper connolly,239.5,13,0,0,39,32,4,1.0,0,PBKS
23,rashid khan,235.0,13,16,97,4,0,4,0.0,0,GT
24,cameron green,233.5,13,7,44,22,17,8,0.0,0,KKR
25,dhruv jurel,230.5,13,0,0,38,19,15,2.0,1,RR
26,devdutt padikkal,229.0,13,0,0,42,23,11,1.0,0,RCB
27,prabhsimran singh,227.0,13,0,0,48,21,6,0.5,0,PBKS
28,jamie overton,223.0,10,14,60,13,6,1,0.0,0,CSK
29,nitish kumar reddy,217.0,12,7,49,15,16,9,0.0,0,SRH
30,arshdeep singh,215.0,13,14,104,0,0,4,0.0,0,PBKS
31,mohammad shami,215.0,12,10,122,2,3,3,0.0,0,LSG
32,axar patel,206.0,13,10,74,13,4,5,0.0,0,DC
33,josh hazlewood,200.5,10,12,101,0,0,5,0.0,0,RCB
34,angkrish raghuvanshi,200.0,12,0,0,40,19,5,0.5,1,KKR
35,jason holder,198.5,7,13,68,2,3,6,0.0,0,GT
36,krunal pandya,198.5,13,10,64,10,9,2,0.0,0,RCB
37,noor ahmad,197.5,13,13,90,0,1,4,0.0,0,CSK
38,yashasvi jaiswal,196.0,13,0,0,47,15,4,1.0,0,RR
39,priyansh arya,193.5,12,0,0,27,32,2,0.0,0,PBKS
40,shreyas iyer,190.0,13,0,0,28,25,7,0.0,0,PBKS
41,travis head,180.5,13,0,0,39,22,0,0.0,0,SRH
42,rajat patidar,180.0,12,0,0,18,31,7,0.0,0,RCB
43,finn allen,179.5,10,0,0,30,27,0,0.0,0,KKR
44,sakib hussain,174.5,9,14,71,0,0,1,0.0,0,SRH
45,prasidh krishna,173.0,8,14,63,0,0,1,0.5,0,GT
46,tilak varma,172.5,13,0,0,30,17,10,0.0,0,MI
47,am ghazanfar,164.5,10,14,64,0,0,1,0.0,0,MI
48,lungisani ngidi,162.5,10,10,86,0,0,0,0.5,0,DC
49,ravindra jadeja,159.5,11,8,46,15,4,1,0.5,0,RR
50,vaibhav arora,158.5,10,11,73,0,0,2,0.5,0,KKR
51,mohsin khan,158.0,6,11,66,0,0,2,0.0,0,LSG
52,washington sundar,157.0,13,1,14,32,10,6,0.0,0,GT
53,donovan ferreira,154.5,12,1,2,22,17,10,0.0,0,RR
54,varun chakaravarthy,153.0,10,10,72,0,0,2,0.0,0,KKR
55,rasikh dar,152.5,9,12,60,0,0,1,0.0,0,RCB
56,marco jansen,152.0,12,7,75,1,3,6,0.0,0,PBKS
57,nandre burger,150.5,10,9,85,0,0,1,0.0,0,RR
58,jasprit bumrah,149.0,13,4,109,1,0,1,1.0,0,MI
59,anukul roy,147.5,13,8,50,2,2,9,1.0,0,KKR
60,brijesh sharma,145.5,10,11,66,0,0,1,0.0,0,RR
61,rishabh pant,144.5,13,0,0,27,11,10,1.5,0,LSG
62,naman dhir,144.0,13,0,0,30,13,7,0.0,0,MI
63,riyan parag,142.0,11,2,5,19,17,4,0.0,0,RR
64,praful hinge,140.5,6,11,53,0,0,3,0.0,0,SRH
65,pat cummins,139.0,6,8,62,1,3,2,0.0,0,SRH
66,ruturaj gaikwad,136.5,13,0,0,28,10,6,1.5,0,CSK
67,rinku singh,136.5,13,0,0,25,11,9,1.0,0,KKR
68,hardik pandya,136.5,9,4,41,18,5,2,0.0,0,MI
69,pathum nissanka,135.5,10,0,0,33,12,2,0.0,0,DC
70,ravi bishnoi,134.5,9,11,42,0,0,5,0.0,0,RR
71,corbin bosch,133.5,5,10,36,5,2,2,0.0,0,MI
72,rohit sharma,132.0,8,0,0,21,21,0,0.0,0,MI
73,shivang kumar,130.5,11,8,57,3,1,0,0.5,0,SRH
74,yuzvendra chahal,130.5,13,10,50,0,0,3,0.0,0,PBKS
75,nitish rana,130.0,9,0,7,27,10,3,1.0,0,DC
76,marcus stoinis,129.0,12,2,10,23,11,1,0.5,0,PBKS
77,xavier bartlett,128.0,9,5,56,2,2,10,0.0,0,PBKS
78,tim david,127.5,13,0,1,18,21,2,0.0,0,RCB
79,mukesh choudhary,126.5,7,7,63,0,0,3,1.0,0,CSK
80,mitchell starc,125.0,5,9,44,0,0,2,1.0,0,DC
81,suyash sharma,123.0,11,8,67,0,0,0,0.0,0,RCB
82,romario shepherd,122.5,12,7,33,6,5,2,0.0,0,RCB
83,akeal hosein,122.0,7,8,58,0,0,2,0.0,0,CSK
84,ajinkya rahane,122.0,13,0,0,21,14,7,0.0,0,KKR
85,vyshak vijaykumar,121.5,9,9,46,0,0,1,1.0,0,PBKS
86,mukesh kumar,118.5,10,6,62,0,0,3,1.0,0,DC
87,kartik sharma,117.0,10,0,0,21,16,1,0.0,0,CSK
88,aiden markram,116.5,12,0,8,20,11,8,0.0,0,LSG
89,harsh dubey,113.0,8,8,39,2,0,4,0.0,0,SRH
90,nicholas pooran,113.0,13,0,0,11,19,5,0.5,0,LSG
91,sameer rizvi,110.5,11,0,0,15,17,3,0.0,0,DC
92,shivam dube,108.0,12,1,5,20,11,3,0.0,0,CSK
93,shardul thakur,107.5,8,10,29,1,0,0,0.0,0,MI
94,kuldeep yadav,106.0,10,7,52,0,0,2,0.0,0,DC
95,josh inglis,101.0,4,0,0,23,10,1,0.0,0,LSG
96,deepak chahar,100.0,7,6,48,3,0,1,0.0,0,MI
97,digvesh singh,100.0,9,5,55,0,0,4,0.0,0,LSG
98,sarfaraz khan,100.0,8,0,0,23,6,6,0.5,0,CSK
99,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
100,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
101,tristan stubbs,97.5,13,0,0,18,9,6,0.0,0,DC
102,ashok sharma,97.5,6,6,53,0,0,1,0.0,0,GT
