Player,Pts
vaibhav suryavanshi,1616
shubman gill,1571
abhishek sharma,1543
kl rahul,1518
ishan kishan,1502
heinrich klaasen,1497
sai sudharsan,1482
jos buttler,1404
mitchell marsh,1365
virat kohli,1343
prabhsimran singh,1309
dhruv jurel,1292
shreyas iyer,1291
ryan rickelton,1286
sanju samson,1230
cooper connolly,1186
devdutt padikkal,1178
rajat patidar,1051
angkrish raghuvanshi,1014
tilak varma,964
yashasvi jaiswal,958
finn allen,953
bhuvneshwar kumar,952
priyansh arya,948
travis head,911
cameron green,908
jofra archer,901
sunil narine,867
nitish kumar reddy,857
kagiso rabada,857
axar patel,795
rinku singh,783
rishabh pant,764
donovan ferreira,757
washington sundar,752
naman dhir,749
jamie overton,742
rashid khan,739
jason holder,738
ajinkya rahane,729
ruturaj gaikwad,723
krunal pandya,707
riyan parag,706
ravindra jadeja,681
anshul kamboj,671
tim david,670
josh inglis,660
eshan malinga,639
mohammed siraj,637
pathum nissanka,636
rohit sharma,633
shivam dube,621
tristan stubbs,606
kartik sharma,585
prince yadav,567
sameer rizvi,557
kartik tyagi,550
suryakumar yadav,548
nicholas pooran,540
phil salt,539
noor ahmad,531
corbin bosch,529
david miller,528
nitish rana,515
marcus stoinis,514
aiden markram,486
dewald brevis,468
lungi ngidi,461
ayush mhatre,458
sakib hussain,457
rovman powell,454
mohsin khan,453
mohammed shami,441
hardik pandya,440
prasidh krishna,431
anukul roy,421
shashank singh,418
ayush badoni,416
ashutosh sharma,416
sarfaraz khan,416
suryansh shedge,409
urvil patel,397
mukul choudhary,392
will jacks,391
josh hazlewood,390
rasikh salam,389
varun chakravarthy,388
arshdeep singh,387
venkatesh iyer,385
am ghazanfar,378
quinton de kock,375
akeal hosein,368
pat cummins,365
jitesh sharma,357
brijesh sharma,356
mitchell starc,353
yuzvendra chahal,347
marco jansen,346
ravi bishnoi,320
nandre burger,318
praful hinge,292
mukesh choudhary,291
sherfane rutherford,290
salil arora,283
romario shepherd,276
vaibhav arora,272
shardul thakur,270
suyash sharma,263
shivang kumar,260
harsh dubey,255
jasprit bumrah,250
aniket verma,246
glenn phillips,233
kuldeep yadav,233
deepak chahar,232
yash raj punja,225
abdul samad,222
mitchell santner,217
ramandeep singh,213
jacob bethell,207
vijaykumar vyshak,207
xavier bartlett,204
shahbaz ahmed,199
azmatullah omarzai,195
rahul tewatia,193
abishek porel,193
shimron hetmyer,191
manish pandey,181
ashwani kumar,178
gurjapneet singh,178
manimaran siddharth,176
madhav tiwari,175
saurabh dubey,171
himmat singh,163
shubham dubey,157
arshad khan,152
prashant veer,150
dasun shanaka,145
jaydev unadkat,132
jacob duffy,129
digvesh rathi,129
nehal wadhera,126
avesh khan,126
ashok sharma,120
shahrukh khan,120
akash singh,116
tushar deshpande,115
nishant sindhu,115
matthew short,112
blessing muzarabani,111
harpreet brar,108
mukesh kumar,108
sandeep sharma,98
sahil parakh,81
khaleel ahmed,79
raj bawa,75
liam livingstone,73
manav suthar,63
t natarajan,60
tim seifert,58
abhinandan singh,57
akshat raghuwanshi,56
raghu sharma,53
ramakrishna ghosh,48
arjun tendulkar,44
kumar kushagra,44
vishnu vinod,33
spencer johnson,30
yash thakur,28
vipraj nigam,27
kyle jamieson,23
david payne,21
karun nair,21
ben dwarshuis,16
matt henry,12
robin minz,11
ravi singh,9
trent boult,8
sai kishore,8
matheesha pathirana,7
auqib nabi,6
kulwant khejroliya,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
pyla avinash,0
musheer khan,0
mitchell owen,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
naman tiwari,0
wanindu hasaranga,0
matthew breetzke,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
umran malik,0
harshit rana,0
prithvi raj,0
gurnoor brar,0
luke wood,0
tom banton,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
tripurana vijay,-3
rahul chahar,-4
arshin kulkarni,-5
lhuan-dre pretorius,-12
navdeep saini,-13
adam milne,-15
sushant mishra,-18
danish malewar,-19
anrich nortje,-26
harshal patel,-37
mayank markande,-39
mayank yadav,-43
lockie ferguson,-45
