Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,5,4,0,0,1,9,1.067,WWNRWW,"vs LSG, DC, RR",796/73.1,785/80.0
Royal Challengers Bengaluru,5,4,1,0,0,8,1.503,WWLWW,"vs DC, GT, DC",1043/90.5,978/98.0
Rajasthan Royals,5,4,1,0,0,8,0.889,WWWWL,"vs KKR, LSG, SRH",849/81.1,871/91.0
Gujarat Titans,5,3,2,0,0,6,0.018,LLWWW,"vs MI, RCB, CSK",922/98.2,928/99.1
Sunrisers Hyderabad,5,2,3,0,0,4,0.576,LWLLW,"vs CSK, DC, RR",1018/100.0,906/94.2
Delhi Capitals,4,2,2,0,0,4,0.322,WWLL,"vs RCB, SRH, PBKS",707/75.2,725/80.0
Lucknow Super Giants,5,2,3,0,0,4,-0.804,LWWLL,"vs PBKS, RR, KKR",793/99.5,796/91.0
Chennai Super Kings,5,2,3,0,0,4,-0.846,LLLWW,"vs SRH, MI, GT",947/100.0,937/90.5
Mumbai Indians,5,1,4,0,0,2,-1.076,WLLLL,"vs GT, CSK, SRH",926/90.1,972/85.4
Kolkata Knight Riders,6,0,5,0,1,1,-1.149,LNRLLL,"vs RR, LSG, SRH",902/100.0,1005/98.5
