Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Royal Challengers Bengaluru,11,7,4,0,0,14,1.103,WWLLW,"vs KKR, PBKS, SRH",2026/195.1,1973/212.4
Sunrisers Hyderabad,11,7,4,0,0,14,0.737,WWWLW,"vs GT, CSK, RCB",2332/217.1,2127/212.4
Gujarat Titans,11,7,4,0,0,14,0.228,LWWWW,"vs SRH, KKR, CSK",1943/210.4,1961/218.0
Punjab Kings,11,6,4,0,1,13,0.428,WLLLL,"vs MI, RCB, LSG",2112/192.0,2095/198.1
Chennai Super Kings,11,6,5,0,0,12,0.185,WLWWW,"vs LSG, SRH, GT",2023/215.0,1914/207.3
Rajasthan Royals,11,6,5,0,0,12,0.082,WLWLL,"vs DC, LSG, MI",1996/200.3,2057/208.2
Delhi Capitals,12,5,7,0,0,10,-0.993,LWLLW,"vs RR, KKR",2159/233.2,2225/217.1
Kolkata Knight Riders,10,4,5,0,1,9,-0.169,LWWWW,"vs RCB, GT, MI",1534/172.2,1622/178.5
Mumbai Indians,11,3,8,0,0,6,-0.585,LLLWL,"vs PBKS, KKR, RR",2026/208.5,2083/202.3
Lucknow Super Giants,11,3,8,0,0,6,-0.907,LLLWL,"vs CSK, RR, PBKS",1910/218.5,2004/208.0
