Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,6,5,0,0,1,11,1.420,WNRWWW,"vs DC, RR, GT",1050/93.1,985/100.0
Royal Challengers Bengaluru,6,4,2,0,0,8,1.171,WLWWL,"vs GT, DC, GT",1218/110.5,1157/117.5
Rajasthan Royals,6,4,2,0,0,8,0.599,WWWLL,"vs LSG, SRH, PBKS",1004/101.1,1032/110.4
Sunrisers Hyderabad,6,3,3,0,0,6,0.566,WLLWW,"vs DC, RR, MI",1212/120.0,1090/114.2
Delhi Capitals,5,3,2,0,0,6,0.310,WWLLW,"vs SRH, PBKS, RCB",886/95.1,900/100.0
Gujarat Titans,6,3,3,0,0,6,-0.821,LWWWL,"vs RCB, CSK, RCB",1022/118.2,1127/119.1
Mumbai Indians,6,2,4,0,0,4,0.067,LLLLW,"vs CSK, SRH, CSK",1125/110.1,1072/105.4
Chennai Super Kings,6,2,4,0,0,4,-0.780,LLWWL,"vs MI, GT, MI",1131/120.0,1131/110.5
Lucknow Super Giants,6,2,4,0,0,4,-1.173,WWLLL,"vs RR, KKR, MI",993/119.5,1050/111.0
Kolkata Knight Riders,7,1,5,0,1,3,-0.879,NRLLLW,"vs LSG, SRH, DC",1063/119.4,1160/118.5
