Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Sunrisers Hyderabad,11,7,4,0,0,14,0.737,WWWLW,"vs GT, CSK, RCB",2332/217.1,2127/212.4
Punjab Kings,10,6,3,0,1,13,0.571,WWLLL,"vs DC, MI, RCB",1902/172.0,1879/179.1
Royal Challengers Bengaluru,9,6,3,0,0,12,1.420,WLWWL,"vs LSG, MI, KKR",1656/156.1,1595/173.4
Rajasthan Royals,10,6,4,0,0,12,0.510,LWLWL,"vs GT, DC, LSG",1844/180.3,1828/188.2
Gujarat Titans,10,6,4,0,0,12,-0.147,LLWWW,"vs RR, SRH, KKR",1714/190.4,1809/198.0
Chennai Super Kings,10,5,5,0,0,10,0.151,LWLWW,"vs LSG, LSG, SRH",1815/195.4,1711/187.3
Delhi Capitals,10,4,6,0,0,8,-0.949,LLLWL,"vs KKR, PBKS, RR",1801/194.2,1868/182.5
Kolkata Knight Riders,9,3,5,0,1,7,-0.539,LLWWW,"vs DC, RCB, GT",1387/158.0,1480/158.5
Mumbai Indians,10,3,7,0,0,6,-0.649,WLLLW,"vs RCB, PBKS, KKR",1860/188.5,1916/182.3
Lucknow Super Giants,9,2,7,0,0,4,-1.076,LLLLL,"vs RCB, CSK, CSK",1495/179.5,1593/169.4
