Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,9,6,2,0,1,13,0.855,WWWLL,"vs SRH, DC, MI",1700/152.0,1644/159.1
Royal Challengers Bengaluru,9,6,3,0,0,12,1.420,WLWWL,"vs LSG, MI, KKR",1656/156.1,1595/173.4
Sunrisers Hyderabad,10,6,4,0,0,12,0.644,WWWWL,"vs PBKS, GT, CSK",2097/197.1,1925/192.4
Rajasthan Royals,10,6,4,0,0,12,0.510,LWLWL,"vs GT, DC, LSG",1844/180.3,1828/188.2
Gujarat Titans,10,6,4,0,0,12,-0.147,LLWWW,"vs RR, SRH, KKR",1714/190.4,1809/198.0
Chennai Super Kings,9,4,5,0,0,8,0.005,WLWLW,"vs DC, LSG, LSG",1656/178.1,1556/167.3
Delhi Capitals,9,4,5,0,0,8,-0.895,WLLLW,"vs CSK, KKR, PBKS",1646/174.2,1709/165.2
Kolkata Knight Riders,9,3,5,0,1,7,-0.539,LLWWW,"vs DC, RCB, GT",1387/158.0,1480/158.5
Mumbai Indians,9,2,7,0,0,4,-0.803,LWLLL,"vs LSG, RCB, PBKS",1631/170.1,1688/162.3
Lucknow Super Giants,8,2,6,0,0,4,-1.106,LLLLL,"vs MI, RCB, CSK",1267/159.5,1364/151.0
