Teams,M,W,L,N/R,PTS,NRR,Series Form,Next,For,Against,Unnamed: 11
Royal Challengers Bengaluru,14,9,5,0,18,0.783,LWWWL,-,2642/254.2,2619/272.4,
Gujarat Titans,14,9,5,0,18,0.695,WWWLW,-,2558/270.4,2434/278.0,
Sunrisers Hyderabad,14,9,5,0,18,0.524,LWLWW,-,2854/276.1,2675/272.4,
Rajasthan Royals,14,8,6,0,16,0.189,LLLWW,-,2619/259.4,2649/267.4,
Punjab Kings,14,7,6,1,15,0.309,LLLLW,-,2711/250.0,2718/258.0,
Delhi Capitals,14,7,7,0,14,-0.651,LLWWW,-,2559/272.4,2581/257.1,
Kolkata Knight Riders,14,6,7,1,13,-0.147,WLWWL,-,2284/251.1,2384/258.0,
Chennai Super Kings,14,6,8,0,12,-0.345,WWLLL,-,2530/275.0,2512/263.1,
Mumbai Indians,14,4,10,0,8,-0.584,WLWLL,-,2553/268.4,2636/261.2,
Lucknow Super Giants,14,4,10,0,8,-0.740,WLWLL,-,2514/275.3,2616/265.1,
